Otu,1,2,3,4,5
Otu11,0.010148593224585056,0.02479017898440361,0.015432603657245636,0.03134455531835556,0.024997923523187637
Otu66,0.016587164252996445,0.007698835339397192,0.004591111559420824,0.0005420169909484684,0.0016621429240331054
Otu95,0.012401989661157131,0.005352331791073084,0.0072639016434550285,0.008597545325756073,0.016578108072280884
Otu46,0.0014437753707170486,0.004887668881565332,0.006893025245517492,0.005321436561644077,0.006721397861838341
Otu1860,0.0011399119393900037,0.007912691682577133,0.0006667409325018525,0.008068340830504894,0.006309238728135824
Otu65,0.011442327871918678,0.0036600155290216208,0.0020808964036405087,0.0011853772448375821,0.00320242065936327
Otu59,0.033780042082071304,0.012365526519715786,8.285416015496594e-07,0.0030456925742328167,0.0038881495129317045
Otu26,0.0029494082555174828,0.007925594225525856,0.003657258814200759,0.004193526692688465,0.005620166193693876
Otu4,0.0791676864027977,0.07742518931627274,0.013831096701323986,0.051946934312582016,0.08760770410299301
Otu121,0.006973568815737963,0.007406465243548155,0.0005762760993093252,0.002787031000480056,0.0016098767518997192
Otu13,0.002693708287551999,0.0040934160351753235,0.00011171330697834492,0.003196017351001501,0.005978073924779892
Otu21,0.02383640594780445,0.014109618961811066,0.028171885758638382,0.008250757120549679,0.004390595946460962
Otu9,0.06949181854724884,0.039920058101415634,0.09649060666561127,0.075108103454113,0.045137468725442886
Otu24,0.005928832571953535,0.004599155392497778,0.011041826568543911,0.003712453180924058,0.00391266867518425
Otu150,0.00011926150909857824,0.028550270944833755,8.188572792278137e-06,5.9669168877007905e-06,3.254382818340673e-06
Otu45,0.008306617848575115,0.0037722738925367594,0.0037539731711149216,0.0173776987940073,0.009375262074172497
Otu3,0.0368909016251564,0.1143844872713089,0.1422884315252304,0.15277813374996185,0.20669642090797424
Otu44,0.0062357657589018345,0.0018560729222372174,0.0011500164400786161,0.00038932563620619476,0.0011102742282673717
Otu90,0.0047197905369102955,0.004140298347920179,0.0007564489496871829,0.005404303316026926,0.001419872627593577
Otu6,0.01986360363662243,0.0068875947035849094,0.06209152564406395,0.010495390743017197,0.004887292627245188
Otu60,0.004207566846162081,0.006112413480877876,0.0007794714765623212,0.004154428839683533,0.0027283229865133762
Otu18,0.0021579950116574764,0.004719630815088749,0.009412487037479877,0.009435019455850124,0.015186442993581295
Otu37,0.0014396733604371548,0.003772856667637825,0.0027481296565383673,0.006807083263993263,0.004576398991048336
Otu23,0.03439585492014885,0.030999569222331047,0.027385931462049484,0.04226571321487427,0.04422047361731529
Otu91,0.0027051474899053574,0.008137973956763744,0.007563487160950899,0.0039031479973345995,0.002829957753419876
Otu2,0.023980963975191116,0.056858934462070465,0.027741851285099983,0.057211734354496,0.05550438538193703
Otu30,0.005380346905440092,0.006344363559037447,0.0032716477289795876,0.003654282307252288,0.004986715968698263
Otu27,0.0025255524087697268,0.020369991660118103,0.020199241116642952,0.008915488608181477,0.005326495971530676
Otu1,0.1374661773443222,0.04067928344011307,0.11993736028671265,0.08721192181110382,0.054759249091148376
Otu10,0.06113913282752037,0.024517234414815903,0.06878630071878433,0.013438668102025986,0.012084678746759892
Otu55,0.0011134378146380186,0.011067519895732403,0.0039588287472724915,0.0029429406858980656,0.002115278271958232
Otu82,0.011235236190259457,0.008484963327646255,0.0071189203299582005,0.0010505439713597298,0.00510873319581151
Otu34,0.006186057813465595,0.005567378364503384,0.002353517571464181,0.0023506765719503164,0.0037110678385943174
Otu7,0.05392885580658913,0.036852072924375534,0.03267985209822655,0.028177158907055855,0.048692237585783005
Otu32,0.00215523480437696,0.014303675852715969,0.0071717118844389915,0.00391729548573494,0.00974510982632637
Otu28,0.01080990768969059,0.009582244791090488,0.011077205650508404,0.004910848569124937,0.004949272610247135
Otu48,0.011427252553403378,0.006588981952518225,0.00015639608318451792,0.0003454071993473917,0.002350870054215193
Otu15,0.015544136054813862,0.014758238568902016,0.013577014207839966,0.016951149329543114,0.011509222909808159
Otu29,0.006479537580162287,0.010448917746543884,0.0015879288548603654,0.020619677379727364,0.01076934952288866
Otu25,0.004282995127141476,0.01697123982012272,0.01562841609120369,0.016687022522091866,0.012325998395681381
Otu92,0.0014488962478935719,0.00572172412648797,0.0018992302939295769,0.00428747059777379,0.003923188894987106
Otu58,0.003611645894125104,0.015915757045149803,0.01299736276268959,0.012372475117444992,0.012737824581563473
Otu98,0.007081529125571251,0.006489872001111507,0.006281370762735605,0.011547187343239784,0.005448203533887863
Otu97,0.00016189906455110759,0.007267540320754051,0.0029834227170795202,0.006414486560970545,0.008638875558972359
Otu49,0.012587672099471092,0.009322798810899258,0.001075806561857462,0.016751926392316818,0.006456707138568163
Otu33,0.0008473154157400131,0.016565455123782158,0.014750231988728046,0.005739068146795034,0.006500497926026583
Otu22,0.04907447472214699,0.02159610576927662,0.014859700575470924,0.010143233463168144,0.019548937678337097
Otu17,0.02611715905368328,0.022095786407589912,0.034701667726039886,0.019493810832500458,0.021659279242157936
Otu52,0.029307037591934204,0.006508508697152138,0.0001992316247196868,0.015530790202319622,0.017416937276721
Otu224,0.0078006768599152565,0.0,0.0,0.0,0.0
Otu56,0.0012772633926942945,0.007171541918069124,0.0010481768986210227,0.002935248427093029,0.002474200678989291
Otu16,0.015229130163788795,0.008899352513253689,0.014894786290824413,0.005734410602599382,0.002914644544944167
Otu14,0.020579367876052856,0.07822787761688232,0.02512538805603981,0.10355310142040253,0.04462772607803345
Otu62,0.0035084467381238937,0.019613536074757576,0.003273308277130127,0.013312463648617268,0.016708968207240105
Otu12,0.052543770521879196,0.02430196851491928,0.05096830800175667,0.029667681083083153,0.04912404343485832
Otu42,0.004676926881074905,0.0053572580218315125,0.004945356864482164,0.0019082813523709774,0.0021319175139069557
Otu47,0.0047948360443115234,0.0063817184418439865,0.00778996990993619,0.0021256902255117893,0.008068726398050785
Otu40,0.0066698091104626656,0.01968803070485592,0.018212538212537766,0.009782010689377785,0.01703062653541565
