Otu,Domain,Phylum,Class,Order,Family,Genus,Species
Otu1120,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na,na
Otu1124,Bacteria,na,na,na,na,na,na
Otu1121,Bacteria,Firmicutes,Bacilli,Bacillales,na,na,na
Otu1125,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na
Otu1127,Bacteria,na,na,na,na,na,na
Otu1126,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1122,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae_1,Seinonella,na
Otu1128,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Extibacter,na
Otu1129,Bacteria,na,na,na,na,na,na
Otu1123,Bacteria,na,na,na,na,na,na
Otu1130,Bacteria,Firmicutes,Bacilli,Lactobacillales,na,na,na
Otu1131,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Kurthia,na
Otu1133,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,na
Otu1138,Bacteria,na,na,na,na,na,na
Otu1136,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1137,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1134,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1135,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1132,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,na
Otu1139,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1141,Bacteria,na,na,na,na,na,na
Otu1140,Bacteria,na,na,na,na,na,na
Otu1143,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa,na
Otu1146,Bacteria,na,na,na,na,na,na
Otu1145,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1148,Bacteria,na,na,na,na,na,na
Otu1142,Bacteria,Firmicutes,na,na,na,na,na
Otu1147,Bacteria,na,na,na,na,na,na
Otu1149,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Pseudobutyrivibrio,na
Otu1144,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Gordoniaceae,Williamsia,na
Otu1150,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1151,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,na,na,na
Otu1156,Bacteria,na,na,na,na,na,na
Otu1155,Bacteria,Proteobacteria,na,na,na,na,na
Otu1157,Bacteria,Tenericutes,Mollicutes,na,na,na,na
Otu1153,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu1152,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1154,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,na
Otu1161,Bacteria,na,na,na,na,na,na
Otu1162,Bacteria,na,na,na,na,na,na
Otu1160,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1159,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,na
Otu1158,Bacteria,Firmicutes,na,na,na,na,na
Otu1166,Bacteria,na,na,na,na,na,na
Otu1167,Archaea,na,na,na,na,na,na
Otu1164,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_1,na,na
Otu1163,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1165,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,na
Otu1170,Bacteria,Proteobacteria,na,na,na,na,na
Otu1172,Bacteria,na,na,na,na,na,na
Otu1171,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,na
Otu1168,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,na
Otu1169,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium_IV,na
Otu1174,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1177,Bacteria,na,na,na,na,na,na
Otu1175,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1176,Bacteria,na,na,na,na,na,na
Otu1173,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Asanoa,na
Otu1179,Bacteria,na,na,na,na,na,na
Otu1178,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,na
Otu1181,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1185,Bacteria,na,na,na,na,na,na
Otu1180,Bacteria,Actinobacteria,Thermoleophilia,Thermoleophilales,Thermoleophilaceae,Thermoleophilum,na
Otu1186,Bacteria,na,na,na,na,na,na
Otu1187,Bacteria,Proteobacteria,na,na,na,na,na
Otu1183,Bacteria,Firmicutes,na,na,na,na,na
Otu1189,Bacteria,na,na,na,na,na,na
Otu1182,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,na
Otu1184,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,na,na,na
Otu1192,Bacteria,na,na,na,na,na,na
Otu1193,Bacteria,na,na,na,na,na,na
Otu1188,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na,na
Otu1190,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1191,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1194,Bacteria,Proteobacteria,na,na,na,na,na
Otu1196,Bacteria,na,na,na,na,na,na
Otu1198,Bacteria,na,na,na,na,na,na
Otu1195,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,na
Otu1203,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Howardella,na
Otu1197,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1202,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu1199,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1200,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,na,Chloroplast,Streptophyta,na
Otu1201,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na,na
Otu1204,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1205,,,Bacteria,Acidobacteria,Acidobacteria_Gp6,Gp6,na
Otu1207,Bacteria,Firmicutes,Bacilli,Lactobacillales,na,na,na
Otu1208,Bacteria,na,na,na,na,na,na
Otu1206,Bacteria,Firmicutes,Bacilli,Lactobacillales,na,na,na
Otu1212,Bacteria,na,na,na,na,na,na
Otu1213,Bacteria,na,na,na,na,na,na
Otu1209,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,na,na
Otu1214,Bacteria,na,na,na,na,na,na
Otu1210,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1211,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1216,Bacteria,na,na,na,na,na,na
Otu1218,Bacteria,na,na,na,na,na,na
Otu1220,Bacteria,na,na,na,na,na,na
Otu1219,Bacteria,na,na,na,na,na,na
Otu1215,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Rugosimonospora,na
Otu1222,Bacteria,Firmicutes,Bacilli,Lactobacillales,na,na,na
Otu1224,Bacteria,na,na,na,na,na,na
Otu1217,Bacteria,Firmicutes,na,na,na,na,na
Otu1221,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1223,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa,na
Otu1225,Bacteria,Bacteroidetes,na,na,na,na,na
Otu1227,Bacteria,na,na,na,na,na,na
Otu1226,Bacteria,Actinobacteria,Coriobacteriia,na,na,na,na
Otu1232,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,na,na
Otu1228,Bacteria,Proteobacteria,na,na,na,na,na
Otu1234,Bacteria,na,na,na,na,na,na
Otu1229,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1231,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,na
Otu1233,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1237,Bacteria,na,na,na,na,na,na
Otu1230,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,na
Otu1235,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVb,na
Otu1238,Bacteria,Firmicutes,Clostridia,na,na,na,na
Otu1236,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1240,Bacteria,na,na,na,na,na,na
Otu1239,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,na
Otu1241,Bacteria,na,na,na,na,na,na
Otu1243,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1246,Bacteria,Firmicutes,na,na,na,na,na
Otu1242,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,na
Otu1244,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1245,,,Bacteria,Acidobacteria,Acidobacteria_Gp16,Gp16,na
Otu1247,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1248,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,na
Otu1249,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1250,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1253,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1252,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1254,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,na,na
Otu1261,Bacteria,na,na,na,na,na,na
Otu1256,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,na
Otu1255,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1257,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1258,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1260,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,na
Otu1259,Bacteria,Firmicutes,Clostridia,na,na,na,na
Otu1262,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na,na
Otu1263,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,na
Otu1264,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Slackia,na
Otu1266,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1270,,Archaea,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,na
Otu1265,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1268,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu1271,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,na
Otu1267,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,na,Chloroplast,Streptophyta,na
Otu1269,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1251,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,na
Otu1273,Bacteria,na,na,na,na,na,na
Otu1272,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,na
Otu1276,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu1274,Bacteria,Firmicutes,Bacilli,Bacillales,na,na,na
Otu1279,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1275,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1278,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,na
Otu1277,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1280,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,na
Otu1282,Bacteria,Firmicutes,Bacilli,Lactobacillales,na,na,na
Otu1286,Bacteria,na,na,na,na,na,na
Otu1283,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,na
Otu1284,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,na,na,na
Otu1287,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1288,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,na
Otu1289,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,na
Otu1285,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,na
Otu1290,Bacteria,Firmicutes,Bacilli,Lactobacillales,na,na,na
Otu1293,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,na
Otu1291,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1292,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1297,Bacteria,na,na,na,na,na,na
Otu1294,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1281,Bacteria,Firmicutes,na,na,na,na,na
Otu1295,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1296,Bacteria,Proteobacteria,na,na,na,na,na
Otu1298,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1302,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1300,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Anaerorhabdus,na
Otu1299,Bacteria,Firmicutes,Bacilli,Bacillales,na,na,na
Otu1301,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1308,Bacteria,na,na,na,na,na,na
Otu1307,Bacteria,na,na,na,na,na,na
Otu1303,Bacteria,Actinobacteria,na,na,na,na,na
Otu1304,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae_1,Seinonella,na
Otu1306,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na,na
Otu1310,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Frisingicoccus,na
Otu1309,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1311,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1312,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,na
Otu1317,Bacteria,na,na,na,na,na,na
Otu1314,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1313,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,na
Otu1305,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1316,Bacteria,Actinobacteria,Coriobacteriia,na,na,na,na
Otu1315,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1318,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,na
Otu1319,Bacteria,Firmicutes,na,na,na,na,na
Otu1324,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1322,Bacteria,Actinobacteria,Coriobacteriia,na,na,na,na
Otu1320,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,na
Otu1326,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,na
Otu1327,Bacteria,Actinobacteria,Actinobacteria,na,na,na,na
Otu1323,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1321,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,na
Otu1325,Bacteria,na,na,na,na,na,na
Otu1328,Bacteria,Proteobacteria,na,na,na,na,na
Otu1329,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,na,na
Otu1334,Bacteria,na,na,na,na,na,na
Otu1336,Bacteria,na,na,na,na,na,na
Otu1332,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,na
Otu1335,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerosporobacter,na
Otu1333,Bacteria,Firmicutes,Bacilli,Bacillales,na,na,na
Otu1330,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1331,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium,na
Otu1338,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,na,na
Otu1341,Bacteria,na,na,na,na,na,na
Otu1340,Bacteria,Actinobacteria,Coriobacteriia,na,na,na,na
Otu1343,Bacteria,Firmicutes,Bacilli,Lactobacillales,na,na,na
Otu1339,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1345,Bacteria,na,na,na,na,na,na
Otu1342,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,na
Otu1344,Bacteria,Actinobacteria,Coriobacteriia,na,na,na,na
Otu1337,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,na,na
Otu1346,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na,na
Otu1348,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,na
Otu1347,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,na
Otu1349,Bacteria,Proteobacteria,na,na,na,na,na
Otu1352,Bacteria,Verrucomicrobia,Spartobacteria,na,na,Spartobacteria_genera_incertae_sedis,na
Otu1350,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1351,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiracea_incertae_sedis,na
Otu1353,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1358,Bacteria,na,na,na,na,na,na
Otu1357,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,na
Otu1359,Bacteria,na,na,na,na,na,na
Otu1361,Bacteria,na,na,na,na,na,na
Otu1354,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,na
Otu1356,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu1362,Bacteria,na,na,na,na,na,na
Otu1355,Bacteria,na,na,na,na,na,na
Otu1363,Bacteria,Firmicutes,Bacilli,Bacillales,na,na,na
Otu1360,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,na
Otu1366,Bacteria,na,na,na,na,na,na
Otu1365,Bacteria,na,na,na,na,na,na
Otu1369,Bacteria,na,na,na,na,na,na
Otu1371,Bacteria,na,na,na,na,na,na
Otu1367,Bacteria,na,na,na,na,na,na
Otu1368,Bacteria,Firmicutes,Bacilli,Lactobacillales,na,na,na
Otu1375,Bacteria,na,na,na,na,na,na
Otu1364,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,na,na,na
Otu1374,Bacteria,na,na,na,na,na,na
Otu1370,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,na
Otu1373,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,na
Otu1372,,,Bacteria,Acidobacteria,Acidobacteria_Gp16,Gp16,na
Otu1376,Bacteria,Proteobacteria,na,na,na,na,na
Otu1383,Bacteria,na,na,na,na,na,na
Otu1378,Bacteria,Firmicutes,Bacilli,Bacillales,na,na,na
Otu1379,Bacteria,Actinobacteria,Coriobacteriia,na,na,na,na
Otu1381,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa,na
Otu1382,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,na,na,na
Otu1377,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu1380,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1384,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1385,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,na
Otu1390,Bacteria,na,na,na,na,na,na
Otu1388,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,na
Otu1389,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1386,Bacteria,Firmicutes,Clostridia,Clostridiales,Gottschalkiaceae,Gottschalkia,na
Otu1393,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Thermoguttaceae,Thermostilla,na
Otu1387,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae_1,Seinonella,na
Otu1394,Bacteria,na,na,na,na,na,na
Otu1391,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae_1,Paenibacillus,na
Otu1395,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalicoccus,na
Otu1392,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,na
Otu1397,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,na
Otu1403,Bacteria,na,na,na,na,na,na
Otu1396,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1399,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na,na
Otu1398,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,na
Otu1401,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1404,Bacteria,na,na,na,na,na,na
Otu1400,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,na,na
Otu1402,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,na
Otu1405,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu1406,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae_1,Seinonella,na
